n_policy,pack_PPO_Ant1_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant2_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant3_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant4_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant7_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant8_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant9_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant17_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Ant18_norm_from_mean_worsening_to_improvement_reward_diff
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,0.990180046772538,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,0.8750076009078194,1.0,1.0
95,1.0,1.0,1.0,1.0,1.0,1.0,0.8028571717369881,1.0,1.0
96,1.0,1.0,1.0,1.0,1.0,1.0,0.7305398306392545,1.0,1.0
97,1.0,1.0,1.0,1.0,1.0,1.0,0.726442240881144,1.0,1.0
98,1.0,1.0,1.0,1.0,1.0,1.0,0.6622398525341087,1.0,1.0
99,1.0,1.0,1.0,1.0,1.0,1.0,0.595924242534082,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0,1.0,0.5635435380481303,1.0,1.0
101,1.0,1.0,1.0,1.0,1.0,1.0,0.5752949791634071,1.0,1.0
102,1.0,1.0,1.0,1.0,1.0,1.0,0.4921561528047117,1.0,1.0
103,1.0,1.0,1.0,1.0,1.0,1.0,0.5483323904991383,1.0,1.0
104,1.0,1.0,1.0,1.0,1.0,1.0,0.5317646222549349,1.0,1.0
105,1.0,1.0,1.0,0.9775916447093226,1.0,1.0,0.5305423832928896,1.0,1.0
106,1.0,1.0,1.0,0.938017227710806,1.0,1.0,0.5541859900883307,1.0,1.0
107,1.0,1.0,1.0,0.9203385658969748,1.0,1.0,0.509335206450636,1.0,1.0
108,1.0,1.0,1.0,0.8873732289047793,1.0,1.0,0.5418106557628836,1.0,1.0
109,1.0,1.0,0.9851461220998644,0.8292945981414334,1.0,1.0,0.5510509507039233,1.0,1.0
110,1.0,1.0,0.9728864183646068,0.8476600974420607,1.0,1.0,0.6057334130399468,1.0,1.0
111,1.0,1.0,0.957101140298187,0.8129135380707873,1.0,1.0,0.6286509977390903,1.0,1.0
112,1.0,1.0,0.997461936862412,0.7174809768369,1.0,1.0,0.6102151339843043,0.9976136808412098,1.0
113,1.0,1.0,0.9471010351092942,0.6797476240843371,1.0,1.0,0.5843311812727742,0.9647307204193438,1.0
114,0.981701007036411,1.0,0.8560846196843045,0.6784125796558422,1.0,1.0,0.5247786872126131,0.9322829396465918,1.0
115,0.9592676033465743,1.0,0.8473188631406581,0.6165672452415144,1.0,1.0,0.5551713212451393,0.9500683437764764,1.0
116,0.99972011913607,1.0,0.8130702300621538,0.5661342863437899,1.0,1.0,0.4921306960571336,0.94748982641513,1.0
117,0.9486497611723608,1.0,0.8630517780390738,0.5335220307358053,1.0,1.0,0.4872364868419645,0.9617792772813746,1.0
118,0.9492254542257954,1.0,0.749343428240607,0.4931109225963326,1.0,1.0,0.4656504789202926,0.974136751253754,1.0
119,0.9775418471510626,1.0,0.7708528133631533,0.4750664203274478,1.0,1.0,0.4572245679531598,0.9171564796268076,1.0
120,0.9473572831266592,1.0,0.7222868044801578,0.4260935545295382,1.0,1.0,0.4450314178644408,0.8815837989695903,1.0
121,0.8887920881755687,1.0,0.7537590300771175,0.4424345919760384,1.0,0.9691933571493376,0.4579813568002558,0.8578616379516691,1.0
122,0.922483730359014,1.0,0.7524608919644177,0.4479666948096368,0.9987918995051442,0.9286030092546752,0.4615679473995338,0.8435877976691606,1.0
123,0.9360125947217028,0.9399428970011124,0.6958620388204023,0.4291635885841554,1.0,0.9203244228254036,0.4441037309194346,0.8594160429698932,1.0
124,0.9439007796600486,0.9660235965245144,0.679031734261062,0.4014463894984996,1.0,0.8928509887864212,0.4368937906822422,0.7756947707438255,1.0
125,0.864760409396178,0.9302148026809284,0.7390937860785728,0.3976445015933555,1.0,0.8675057783180359,0.4537690761769316,0.786766933685677,1.0
126,0.8826852638467538,0.8881644596389142,0.7349744713753682,0.3533616840461401,1.0,0.7987534582759382,0.4507768817866209,0.7551425010678499,1.0
127,0.9464133391395668,0.8500166052677203,0.680849423289029,0.4029375553185124,0.9901051217364152,0.8584769386866782,0.4841533914414435,0.7631934215437283,1.0
128,0.9059887602267214,0.7960740517960317,0.7075566990656167,0.3907098609565589,0.9504166109406182,0.8529402182764025,0.5216792087926558,0.7567226254851452,1.0
129,0.8015868440768937,0.8134076652415979,0.7513556013311404,0.3945031712792983,0.9467324398084928,0.8612347649323024,0.5145719713433478,0.7501411549003185,1.0
130,0.7742785355461889,0.7913388128489749,0.7127630542672647,0.4061668088710077,0.9271044182217624,0.8674164787079626,0.4863433721722964,0.695398728038325,1.0
131,0.7763580593929913,0.7040428692122064,0.7226025444741677,0.3722019538718144,0.9145109374130336,0.8868501026868378,0.5001357134928659,0.663350663975411,0.9925795713228188
132,0.7979951150797387,0.651296447179895,0.6955610927036925,0.394302530858208,0.9531486598184352,0.8102920297941147,0.5070230601875272,0.629277247643032,0.970189017339512
133,0.7487405679027727,0.6828798818727259,0.6596213054009255,0.3774011510257798,0.939984572813443,0.7576473677021011,0.5075157368862986,0.6245725120269827,0.9303653194243524
134,0.6309869086100675,0.702019786359604,0.6090805479365282,0.3535385289434183,0.9661791734966544,0.7230224370015689,0.5075774998954056,0.5793580249197609,0.9779527338751388
135,0.6720389329984177,0.5769838492126084,0.6186254203100535,0.3712073033907055,0.9839678885144384,0.6632160871292332,0.4717655872582262,0.547985946423884,0.9380533087756032
136,0.6746830722670011,0.6300135698630519,0.5993589358143113,0.3766304846521892,0.9355870105178404,0.6944376044647442,0.4556243637134414,0.6716959312326329,0.8535888818169265
137,0.6728978338384345,0.5350607438507761,0.5207468164923912,0.3390048219903503,0.9098390122985826,0.660918317944342,0.4670664272857869,0.7044487553382394,0.803645289689264
138,0.7324733020366758,0.5998178497166889,0.485546920458657,0.3183003376934798,0.8226357508839873,0.6458708395794455,0.5002347471923194,0.720945413704829,0.8264489882274837
139,0.7660847217195803,0.5571221470514238,0.4904454664070233,0.3394713691340423,0.7874683818241409,0.4797520088932253,0.5045739586494502,0.6979625982473991,0.70510414136388
140,0.7562073990109239,0.4249169676415736,0.4819861103539289,0.3568796752694053,0.7861822521488598,0.4596797644247574,0.5201026294137541,0.707423601822167,0.7003563767020128
141,0.6540453880726639,0.5179700890977367,0.4362078285974186,0.3464970221335379,0.6548616107200091,0.3678043175758829,0.5442498948638471,0.6987695147655273,0.6942925952914858
142,0.6424422351674884,0.5164610042025389,0.4912901613170591,0.3484372566064994,0.7331794661515235,0.4526861200226087,0.5582521122907781,0.7155347331410592,0.6614563131402169
143,0.627137265944031,0.4949919948368534,0.5032125598345681,0.3309742182214006,0.746154958318769,0.4014101120456053,0.5795828168345906,0.6737649422528533,0.6643714318887028
144,0.6987475790895936,0.4729772018076621,0.4853398964398508,0.2714385549857307,0.7031968355371356,0.4762461271922686,0.5641169425857818,0.6312063301990183,0.5844796062614372
145,0.7153788875098506,0.3209133969519966,0.47530205818562,0.2531832063442922,0.6838091811267483,0.4840858430954696,0.4883320971848897,0.6311760061209106,0.6609012732024846
146,0.6550228283427875,0.3478556574572105,0.4441110219085328,0.2765776792101454,0.6632552964504135,0.4383680587902663,0.4633382595520515,0.6495312674194397,0.6453626640069642
147,0.5867454785434699,0.3345376293523271,0.4094916743129019,0.2497678495290495,0.5450681729681627,0.3618671743927219,0.4362657701871047,0.5537134031317805,0.6263088051130681
148,0.5990070577628485,0.1777688442944202,0.4078944202302613,0.2522080796596023,0.621144864449479,0.4400130928426275,0.4541397948525277,0.5143130615409879,0.6244780436886971
149,0.5348383211489698,0.3018532839743177,0.371719313805767,0.2675218233655957,0.5516174932227824,0.4660798328708257,0.4021717822080389,0.5018678977863904,0.6025956311363267
150,0.5575375126339509,0.3173002245124446,0.3646836478640687,0.2159684087588448,0.560910843835895,0.3988057903179302,0.4220815516555615,0.5420405742394064,0.532922555702215
151,0.5956828120153068,0.2174792395244562,0.349693526491876,0.2328437441030817,0.5477772215987294,0.3921107529434929,0.4171582980791596,0.5514250227474254,0.4642113829775692
152,0.5659199581485567,0.2036619591058522,0.3417843465864839,0.2271501803299468,0.5619230796285268,0.3837581121142502,0.3647682310338161,0.4965565540596445,0.4473725051735179
153,0.5300115602455582,0.3847318254068341,0.3486772206934028,0.2309333525073638,0.6078831098292312,0.3196353193945692,0.3651359537698972,0.5079600766685118,0.4904308330927492
154,0.5145169519459051,0.2306020134911704,0.3589947622913241,0.2465678701704652,0.6794613214132357,0.3487968227683055,0.3575880975737076,0.4785525297108373,0.4632967156364644
155,0.5397498740562573,0.1746802849416963,0.3712547317284539,0.1681102039728261,0.6637931016590587,0.3424218342351043,0.3265869619353574,0.4530613217056944,0.454369403017085
156,0.6258685754400232,0.3259286117041661,0.3377023739785784,0.1588141548433687,0.68383215762832,0.3349745152496446,0.3621971192729802,0.5014610406383774,0.4710769346261652
157,0.6148419508607618,0.2245950419686452,0.3544656215605882,0.0685083535740561,0.6281140434835729,0.3177458178843175,0.3446312087906529,0.4196919400040758,0.4839766566236332
158,0.5959354993679035,0.2850057274224676,0.375431038916457,0.0905319184887333,0.6961095912548176,0.2926306028613137,0.3537945858431114,0.4404865295287148,0.4569458313308544
159,0.5547424041422835,0.3326407981839234,0.3481075120520681,0.0040462683542313,0.6936240985097999,0.2498840243530785,0.371101202052877,0.3233884526070076,0.465082232497654
160,0.4934403934523513,0.4404584744733619,0.3706315247638728,0.1468121456503736,0.6411051483694123,0.2664953160707589,0.3698228546677097,0.3061527021761944,0.4661170611063859
161,0.4366666028013137,0.27598037152423,0.3959508065683617,0.1586744956836794,0.6251541241725128,0.2467172117468953,0.3909098987357224,0.2540554514397781,0.4423077166230222
162,0.5093385769227592,0.4046134815663015,0.3686658807267519,0.226835593259619,0.6077181924172661,0.2502098783697805,0.3886405281743456,0.2887397836861685,0.4165734156796299
163,0.5733011671745071,0.428897056830102,0.414607289456917,0.2871912261059017,0.5438241228971018,0.2173857653018231,0.3976904740728517,0.2988352484861257,0.4815241235458053
164,0.4438498790367807,0.4262611787986267,0.4306915443369504,0.3016751213041489,0.6025709471759468,0.2204500755255473,0.3703819637844983,0.2069275818134445,0.4339934520564936
165,0.347922887823217,0.3970116890782367,0.4588778712633428,0.2882031171706939,0.6008982290404364,0.2264051235418618,0.3503172831390244,0.2406222722927389,0.409691657825262
166,0.3773379016556024,0.2967198250535676,0.5007575743635295,0.2332176777612394,0.5026963418212391,0.2084720511238413,0.3167517709216166,0.1987540565419363,0.4083813279072078
167,0.4058091576763927,0.3478735528460346,0.4888970043289078,0.2731834552629588,0.4758824700345936,0.2820584589222174,0.3493861904330834,0.2414707772976981,0.4601915654485149
168,0.4532175612343826,0.4034585084905389,0.4924032464729592,0.395086375112428,0.5311126929289401,0.3120546036149504,0.373968220162217,0.2786665337708629,0.4432445023410168
169,0.5450571775020095,0.3292923635515215,0.5007698239035653,0.2962374361774536,0.5816119023498268,0.354035056564784,0.3987840694050392,0.299261134021602,0.4447399242384489
170,0.4786685150094222,0.2980016989008157,0.4580441211263886,0.2508526388752492,0.5504257121366315,0.4043569932570783,0.4235243423373128,0.3702561642110728,0.3826212367004084
171,0.4797415708541371,0.362018646882194,0.4553118888663329,0.3156299840672129,0.5863903198340302,0.3633342491599404,0.4343013077102336,0.3724689260077853,0.421696004250092
172,0.4797245775855512,0.1950262592333837,0.4672543952434145,0.1660406747859151,0.4726882787029661,0.3507022118308619,0.40538798097036,0.4148504688141707,0.4050183040182695
173,0.5212357586522038,0.1099511852481489,0.4580659171190419,0.2479426660069119,0.5397285899297563,0.3325813692534917,0.443174174348824,0.3149611142880957,0.4319544975325071
174,0.5176907169045608,0.046840915079459,0.4916300257547452,0.3402764261190467,0.4612383540666511,0.2684332531357071,0.4092125686011467,0.3949183997540661,0.3937311153739533
175,0.4798864370050312,0.0,0.5449468999479661,0.2786082420180936,0.4901682262383054,0.3063195145563006,0.304503653434418,0.4360426883094027,0.3952338954680824
176,0.5118670407763226,0.0,0.5277936263452202,0.3118132153020971,0.4685691412166354,0.2746137815761286,0.2733342652133931,0.3886829310623775,0.4207086331085726
177,0.5332229366297344,0.2489211838596622,0.545320506696306,0.2077346339191109,0.4229338741675099,0.2598614817601115,0.327519456472954,0.3588944187557624,0.4038395690823808
178,0.4337075290254263,0.2343089409431865,0.5252496115553597,0.2282952548689886,0.4004348102447215,0.2633975230995955,0.2484185473063637,0.3287558536351637,0.3966323822102213
179,0.4778880550937661,0.1042556882834288,0.5274919689203559,0.2268358818771286,0.3847797140073624,0.2691088261147817,0.2614537090127077,0.3262366759253756,0.3726760779351656
180,0.376101963446157,0.1201479894195187,0.5371832542437528,0.3778830267266054,0.3832204935036225,0.310400670986536,0.345342239894556,0.3953223037084278,0.3775783613000983
181,0.3794044929531912,0.0821055508202033,0.4680172876959386,0.3520360340894892,0.3402130516521003,0.3186113856931346,0.2914297675668028,0.2883614976078695,0.3490340570905276
182,0.3263001330141029,0.0975731667242872,0.4575710616582343,0.325940577691506,0.3458955288976654,0.2437207222472271,0.3741031887004004,0.318753312684479,0.3353318817355944
183,0.3911619886773145,0.0109406243882481,0.4547234734316854,0.3303486653924721,0.3264364865897796,0.2264422875856059,0.377822731820204,0.1807213340465399,0.272848864797154
184,0.3167796415378491,0.0343038205350358,0.4369320950208635,0.3481196290124193,0.3371798805729665,0.2390863442286063,0.3502281482972064,0.1789971134885181,0.285272121747376
185,0.1666133493837913,0.005820069440779,0.4084333834119993,0.2454555365060273,0.3124372978621402,0.3076116813067238,0.3890106844372724,0.2296516207123335,0.2889569504921931
186,0.1030248702073077,0.0320862322608841,0.376732075721089,0.0693228031287915,0.2871770908454161,0.3573920185697725,0.3590186101755144,0.165492847235097,0.2995160005934871
187,0.0399371124651499,0.0,0.3508367817567488,0.0750577843900276,0.3129333235271161,0.3346166155113105,0.3937900625042688,0.156425861521293,0.2505591902006307
188,0.0803904155661406,0.0,0.3547136923475195,0.1417798453346323,0.2841904986420692,0.2787705905128351,0.4051364057331735,0.1578559613248979,0.198570570450373
189,0.0531824317352262,0.0,0.4292138340673879,0.029309958954781,0.2780527802629725,0.2188170744569322,0.4074780657053548,0.0630584768367322,0.2450089791678155
190,0.0464634219445888,0.0361400478814428,0.4547492821852779,0.0617016650089979,0.2798311631275127,0.2405566612061175,0.4285713378203472,0.0993395862084745,0.2493925403170749
191,0.05678426841719,0.0403909311927925,0.391695256325296,0.0642958467567507,0.3109581668432752,0.2575655630562762,0.3951844383129634,0.0419776037034024,0.2478746777589316
192,0.0703058367901967,0.0754059282202328,0.3766690654451509,0.106426921447941,0.3215546017688329,0.2094302611420188,0.3636060078212348,0.0379485793248974,0.117147622004899
193,0.0485848066914489,0.0,0.3690513089685356,0.080762285892659,0.3423143233106417,0.1688506621772885,0.3425606433556684,0.0454304345459309,0.0
194,0.0039624749507815,0.1026986616471989,0.3619448673094449,0.2159695279554871,0.3501943014487894,0.140101673154592,0.3815403556787391,0.0352534409638924,0.1284502603656477
195,0.0820632763176989,0.0799462706268378,0.3326694043938883,0.2528346485224869,0.3663044476765993,0.1670895885214487,0.4001155650926674,0.0599048610709892,0.1617529163354137
196,0.1324064222535487,0.0375538181511112,0.3343671916027174,0.1462101076199174,0.3384386811303775,0.1588790087582288,0.4219928763245222,0.1332482169230074,0.1961067412183208
197,0.1391558260524888,0.0290977916577843,0.365191518263439,0.1517126420518681,0.2753180247920543,0.1503370820207913,0.4295860852884918,0.2549144079566545,0.2083423792763578
198,0.1316243609566807,0.0612574984404886,0.3494820235005166,0.1640377422360974,0.2577306361367495,0.1764722681676903,0.4134753761660737,0.1033027085912659,0.2429960638188533
199,0.1518925198702228,0.0,0.3873846172665853,0.1968808452210166,0.2700562655781957,0.1432776134894214,0.4057592359402831,0.1300663615990734,0.1556476456029186
200,0.142369063982785,0.0,0.3838580080528657,0.2220980427426265,0.2535805825391951,0.0831377994035512,0.4159902661561163,0.2113554507341579,0.1887856934753596
201,0.186278125755438,0.0513420906803677,0.358063289714458,0.1916410864895642,0.2552648871058202,0.0470398371310417,0.3387551619264575,0.2463145049092147,0.116195737253794
202,0.1601745621522496,0.0651459616525091,0.3826032297203567,0.3311607870662424,0.3144662037080138,0.0888186998631621,0.3381698338241536,0.217275482895779,0.1013555349673309
203,0.1933806647829428,0.022381580908814,0.4043634041648616,0.2746407287843029,0.3430223888625161,0.054580929953987,0.342798358137755,0.1560897148099553,0.1816804280023304
204,0.1768273705946481,0.0603219593861395,0.4387287274139186,0.2315307465897422,0.3102604370090159,0.02949487931688,0.3513976045389562,0.0680221200632659,0.0958420466118172
205,0.2432437447806631,0.0121624741069011,0.3645365237905655,0.2897178041885415,0.2746050550246016,0.0285135786196118,0.2218074394766489,0.1733939753220696,0.1763137487991556
206,0.2546096755831725,0.0571991276115594,0.3632722515198842,0.3278169836096258,0.2524883408904286,0.0668101480954913,0.2375451273808101,0.137996189543108,0.0
207,0.2513856174281169,0.0,0.3401166721056792,0.3382195022345992,0.2725407899294865,0.1161513927757467,0.342389634883235,0.1284269016441503,0.0
208,0.1904203249725701,0.0160871131483821,0.3140880462959491,0.4680555835103542,0.2405485118929541,0.2159317114090636,0.3126388719511792,0.2415411302391479,0.0566831618329001
209,0.0641181330576177,0.0424469386990657,0.3580458112416226,0.4360144521332962,0.2270629310057765,0.0757818051734077,0.3676427974788572,0.2687416576446612,0.0
210,0.066039294755622,0.1679997753595214,0.318562120956632,0.2607606203172622,0.2211138294179766,0.02645887060619,0.4036369098357602,0.3139918221844909,0.0152320670076988
211,0.0617145135795041,0.2134916447499398,0.3514269551537973,0.2264718862067165,0.2485814751465562,0.1325750621510371,0.3267971486915097,0.2852548609137171,0.0504188348015441
212,0.0412299464272447,0.1430691623496175,0.352214615711283,0.1507460073016459,0.3036647959356806,0.0949081122193048,0.351544545140278,0.2911980020187736,0.1474387727502824
213,0.0,0.3143089371827124,0.4352236113670231,0.091794215409831,0.2718998851143295,0.1266760979327637,0.4961858748202201,0.2467229542377928,0.0892146965803043
214,0.0,0.1778961286752125,0.4107257106722682,0.0127939122469793,0.2486428525152745,0.1193901096895071,0.4661773526653079,0.2904960683520438,0.0977324499879175
215,0.0,0.0,0.388352801455439,0.0710259242264507,0.3052914827210575,0.2109998439641677,0.4278287276960521,0.2793508875310168,0.1107046326819083
216,0.0220232120592268,0.0,0.3564835367536231,0.0136513800209745,0.2811721021041831,0.2286730909765157,0.3959770918227772,0.2817556215626213,0.0836532056661948
217,0.0550138825374082,0.0,0.3582302571116204,0.4280935758318819,0.2434276949374471,0.1694010387914771,0.3684351468389481,0.360063021106932,0.0
218,0.0,0.0229031744028892,0.3463786666362414,0.2961556568485149,0.2436270708969802,0.1869846379649635,0.3391958487515887,0.409221974786236,0.0
219,0.0097431316936147,0.0128601946010299,0.3154466749780897,0.3476573986960677,0.2448250619578623,0.1262780456077785,0.356784408280575,0.3990330708989804,0.0680272669289049
220,0.0284777382204245,0.0303281055255341,0.3115977210804566,0.1940519290444344,0.235624652854052,0.085642702425803,0.3132844906456519,0.4191594804735991,0.1411469910388046
221,0.0,0.0220287480392494,0.3463712370471508,0.5707976706679756,0.2005213579305883,0.0,0.2251332492885502,0.4030553896736975,0.0194154357118784
222,0.0757315582070118,0.0006940338113266,0.3554571718952151,0.6740603195524341,0.2322622940553688,0.0403702484349956,0.2953201096894918,0.4240636431679513,0.0368440057574713
223,0.0617933182958123,0.0,0.3684313315502501,0.5910842952380461,0.266229530220846,0.0,0.1640989810705443,0.3796617249478615,0.1128006069683846
224,0.090282903441444,0.0162095097365704,0.3019937354911008,0.323794151923432,0.254092483740749,0.0,0.1519084053308041,0.3801694287446209,0.1361031828791201
